AssetID,AssetType,InstallDate,AgeYears,ConditionScore,LastMaintenanceDate,Region,Latitude,Longitude,InspectionDate,Commodity,System,DiameterInches,Material,CoatingType,SeamType,MAOP_psig,HCA_Flag,ClassLocation,SoilCorrosivityIndex,CPZoneID,CPStatus,LastCPSurveyDate,PipeToSoilPotential_mV,LastILI_Date,ILI_Anomalies_Count,LeakHistoryCount,CorrosionRiskScore,CorrosionRiskScore_Rubric
A100088,Substation Equipment,2020-12-21,4,2,2023-07-07,South Bay,37.16628,-122.17496,2025-01-03,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100089,Transformer,1983-01-03,42,3,2002-08-08,San Francisco,37.73304,-122.49959,2022-01-14,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100090,Transformer,1980-11-27,44,4,2020-03-24,South Bay,37.33117,-121.91334,2021-12-13,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100091,Regulator,1993-10-08,31,3,1996-01-27,Peninsula,37.61335,-122.1937,2002-08-28,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100092,Pole,1985-05-15,40,1,1997-06-13,East Bay,37.61402,-121.96412,1999-03-01,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100093,Gas Valve,2010-06-08,15,1,2017-08-25,San Francisco,37.78658,-122.47721,2022-02-04,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100094,Gas Valve,1986-01-11,39,4,1990-01-24,South Bay,37.2195,-121.95376,2018-08-07,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100095,Gas Valve,2007-11-07,17,2,2019-06-11,East Bay,37.66639,-121.89205,2020-01-01,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100096,Transformer,1980-05-27,45,1,1987-02-17,Sierra,38.63021,-120.65157,1999-08-23,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100097,Feeder,1977-07-01,48,3,2005-01-24,East Bay,37.92295,-121.92602,2021-04-26,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100098,Pole,1980-10-17,44,2,2010-07-25,Central Valley,37.12012,-120.90511,2012-12-27,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100099,Substation Equipment,2013-07-25,12,3,2024-12-02,Central Valley,36.75133,-121.43753,2025-07-19,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100100,Gas Valve,2021-10-21,3,2,2022-03-14,South Bay,37.37566,-122.10701,2024-05-01,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100101,Substation Equipment,2020-09-21,4,4,2023-10-31,Sierra,38.86924,-120.52162,2025-02-22,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100102,Feeder,2007-10-27,17,1,2023-06-28,South Bay,37.24069,-122.05282,2023-09-20,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100103,Substation Equipment,2020-11-23,4,2,2021-08-24,Peninsula,37.39393,-122.35926,2023-12-04,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100104,Transformer,1983-11-12,41,1,2001-01-11,North Bay,38.26198,-122.4312,2023-02-06,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100105,Switchgear,2010-01-21,15,1,2024-05-17,Sierra,38.88939,-120.26478,2025-02-19,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100106,Regulator,1990-08-09,35,1,2011-05-17,Peninsula,37.60381,-122.42131,2024-12-20,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100107,Transformer,2022-09-18,2,1,2024-06-17,Sierra,39.43389,-120.47046,2025-02-06,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100108,Regulator,2022-08-09,2,1,2023-08-15,North Bay,38.21495,-122.92041,2023-12-28,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100109,Regulator,1988-04-24,37,4,2010-09-28,South Bay,37.22646,-122.06839,2015-06-25,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100110,Switchgear,1979-08-22,45,3,2014-04-26,Sierra,39.56732,-120.03669,2024-03-21,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100111,Feeder,2015-11-07,9,1,2022-11-06,North Bay,38.44198,-122.34855,2024-02-23,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100112,Gas Valve,1991-11-24,33,3,2020-01-12,South Bay,37.20623,-121.78355,2022-03-06,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100113,Pole,1975-08-02,50,4,1999-12-21,Peninsula,37.62582,-122.19675,2020-07-13,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100114,Transformer,2019-04-22,6,4,2022-11-03,Central Valley,36.67122,-121.19607,2024-02-22,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100115,Feeder,1993-08-15,32,4,1999-03-18,Central Valley,36.85952,-121.32915,2006-11-12,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100116,Pole,1994-02-16,31,1,2007-05-23,Peninsula,37.59975,-122.15386,2025-06-24,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100117,Transformer,2007-08-09,18,4,2012-07-31,East Bay,37.95635,-122.35027,2021-07-16,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100118,Transformer,2012-02-05,13,5,2018-03-29,South Bay,37.20242,-122.01662,2020-10-15,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100119,Pole,2013-11-17,11,3,2024-02-05,San Francisco,37.79242,-122.51811,2025-05-24,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100120,Regulator,1998-04-16,27,4,2016-03-28,North Bay,38.27957,-122.90789,2019-09-02,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100121,Pole,1975-08-22,49,4,2012-04-13,North Bay,38.41204,-122.41684,2018-12-03,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100122,Regulator,1984-07-12,41,4,1998-12-24,San Francisco,37.77828,-122.37551,1999-09-02,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100123,Substation Equipment,1996-01-11,29,3,2014-03-02,North Bay,38.49832,-122.36411,2020-04-27,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100124,Pole,2020-01-24,5,3,2021-10-03,North Bay,38.52406,-122.89788,2025-04-12,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100125,Transformer,2000-07-28,25,5,2004-04-09,San Francisco,37.81477,-122.45964,2011-09-11,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100126,Switchgear,1992-01-09,33,1,1994-08-11,San Francisco,37.81191,-122.42192,1997-03-20,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100127,Regulator,1993-11-05,31,2,2006-01-14,Sierra,39.06225,-120.18149,2024-10-15,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100128,Feeder,1995-04-25,30,3,2014-10-10,East Bay,37.76031,-121.81729,2023-06-17,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100129,Substation Equipment,2015-07-18,10,5,2018-02-05,North Bay,38.25679,-122.75651,2021-08-30,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100130,Transformer,1978-12-14,46,4,1991-08-28,Central Valley,37.56244,-121.33345,2002-03-27,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100131,Substation Equipment,1993-08-02,32,5,1999-07-27,Central Valley,37.94128,-121.21189,2009-11-01,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100132,Switchgear,2001-06-10,24,3,2013-03-09,South Bay,37.12079,-121.67887,2020-09-29,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100133,Regulator,2016-05-13,9,2,2020-01-05,Central Valley,37.3679,-121.25824,2021-09-15,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100134,Feeder,2017-07-04,8,2,2024-12-28,East Bay,37.77505,-121.84862,2025-04-06,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100135,Transformer,1988-09-26,36,4,2013-09-12,South Bay,37.01653,-121.69162,2016-06-03,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100136,Switchgear,1996-08-14,29,2,2021-06-18,South Bay,37.21656,-122.17862,2022-08-11,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100137,Pole,1980-03-11,45,5,1984-07-20,South Bay,37.15592,-122.09151,2022-08-24,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100138,Pole,1998-05-26,27,5,2007-09-27,San Francisco,37.76704,-122.44249,2019-02-22,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100139,Regulator,2001-07-14,24,5,2011-03-24,North Bay,38.19693,-123.00911,2021-02-19,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100140,Gas Valve,1996-01-16,29,3,2022-01-28,East Bay,37.89353,-122.3736,2023-07-02,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100141,Pole,2018-09-17,6,2,2020-01-09,San Francisco,37.7949,-122.44141,2024-12-24,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100142,Pole,1999-07-21,26,4,2019-03-13,San Francisco,37.7498,-122.37864,2024-06-09,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100143,Substation Equipment,1976-03-02,49,4,2018-11-25,San Francisco,37.81074,-122.44215,2024-06-04,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100144,Switchgear,1975-02-13,50,5,2017-05-23,Peninsula,37.31758,-122.32192,2023-05-03,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100145,Pole,1981-04-05,44,2,2004-12-18,East Bay,37.68859,-122.19619,2009-11-06,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100146,Transformer,2021-12-21,3,4,2022-06-26,Central Valley,37.87019,-120.85584,2024-02-15,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100147,Substation Equipment,1977-01-26,48,2,1998-03-18,Peninsula,37.63897,-122.44319,2018-02-09,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100148,Transformer,2016-12-10,8,2,2024-03-29,Peninsula,37.47091,-122.48986,2025-02-10,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100149,Feeder,2015-07-23,10,1,2016-12-11,San Francisco,37.75406,-122.50427,2017-01-30,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100150,Gas Valve,2008-10-07,16,4,2014-11-22,North Bay,38.13324,-122.53057,2015-05-27,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100151,Substation Equipment,2013-01-01,12,5,2020-01-15,South Bay,37.28751,-121.83885,2024-04-03,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100152,Gas Valve,1995-11-27,29,2,2017-07-01,East Bay,37.63575,-121.60212,2017-11-17,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100153,Pole,2010-04-01,15,4,2025-02-02,Peninsula,37.38449,-122.41318,2025-06-10,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100154,Transformer,1976-04-16,49,4,1983-11-03,San Francisco,37.79439,-122.51125,2011-07-25,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100155,Pole,2017-07-12,8,2,2023-05-01,San Francisco,37.8053,-122.42854,2024-06-26,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100156,Regulator,1996-12-14,28,3,2015-01-02,North Bay,38.56182,-122.73457,2024-03-10,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100157,Transformer,1993-12-28,31,5,1997-04-15,South Bay,37.26636,-121.95358,1998-07-07,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100158,Switchgear,1987-05-25,38,2,1998-01-08,South Bay,37.4529,-122.25725,2015-06-12,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100159,Pole,1991-05-04,34,5,2013-11-06,East Bay,37.81663,-121.92025,2014-04-15,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100160,Pole,1989-08-14,36,1,2016-07-28,Peninsula,37.41116,-122.18836,2017-03-01,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100161,Switchgear,1978-04-01,47,5,1991-04-03,South Bay,37.39649,-121.92151,1993-07-12,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100162,Transformer,2020-01-06,5,4,2022-10-22,East Bay,37.84108,-122.18507,2023-04-20,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100163,Gas Valve,2021-02-03,4,2,2023-03-19,Central Valley,37.67712,-120.93091,2023-12-23,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100164,Pole,2016-09-24,8,4,2017-05-12,South Bay,37.46523,-121.60999,2024-09-22,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100165,Regulator,2021-07-27,4,3,2023-09-14,San Francisco,37.74037,-122.42356,2025-03-28,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100166,Pole,1981-01-03,44,3,1984-11-26,East Bay,37.75372,-121.79548,2000-08-03,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100167,Switchgear,1982-09-25,42,2,2000-01-22,San Francisco,37.76366,-122.38605,2016-07-07,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100168,Substation Equipment,1994-07-03,31,1,2016-01-06,San Francisco,37.81418,-122.42098,2016-12-21,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100169,Gas Valve,2009-08-07,16,3,2018-01-15,South Bay,37.39353,-121.61592,2021-12-10,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100170,Switchgear,1976-11-14,48,2,2013-06-16,Central Valley,36.97868,-121.48636,2016-03-10,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100171,Switchgear,1977-08-03,48,1,2000-12-01,North Bay,38.34404,-123.13087,2019-09-24,Electric,,,,,,,N,,,,Unknown,,,,,0,,
