WorkOrderID,AssetID,AssetType,Region,Latitude,Longitude,Status,Priority,RiskScore,CreatedDate,DueDate,DaysOverdue,AssignedCrewID,Commodity,CPZoneID,HCA_Flag,RiskScore_Rubric,Priority_Rubric
WO200043,A100289,Pole,North Bay,38.18466,-122.41234,Closed,High,6,2025-04-19,2025-06-05,0,C107,Electric,,,,
WO200044,A100088,Substation Equipment,South Bay,37.00976,-122.1639,Open,High,8,2025-05-26,2025-07-16,22,,Electric,,,,
WO200045,A100275,Regulator,East Bay,37.99552,-121.84952,Closed,Critical,10,2025-07-18,2025-09-10,0,C104,Electric,,,,
WO200046,A100142,Pole,San Francisco,37.78787,-122.41221,Open,Critical,10,2025-05-18,2025-06-01,67,,Electric,,,,
WO200047,A100256,Pole,San Francisco,37.7774,-122.44394,Open,High,8,2025-06-29,2025-08-27,0,,Electric,,,,
WO200048,A100131,Substation Equipment,Central Valley,36.62303,-121.36209,Open,Critical,9,2025-05-26,2025-07-07,31,,Electric,,,,
WO200049,A100143,Substation Equipment,San Francisco,37.70859,-122.3716,In Progress,Critical,10,2025-05-30,2025-06-15,53,C108,Electric,,,,
WO200050,A100101,Substation Equipment,Sierra,38.99541,-120.81041,In Progress,Medium,5,2025-05-26,2025-06-12,56,C101,Electric,,,,
WO200051,A100114,Transformer,Central Valley,37.16294,-120.67974,Assigned,Medium,4,2025-07-08,2025-09-06,0,C119,Electric,,,,
WO200052,A100046,Transformer,Sierra,39.04887,-120.10105,Assigned,Critical,10,2025-05-26,2025-07-14,24,C115,Electric,,,,
WO200053,A100107,Transformer,Sierra,39.37804,-120.99046,Assigned,High,8,2025-06-11,2025-07-15,23,C103,Electric,,,,
WO200054,A100025,Substation Equipment,East Bay,37.66463,-122.17183,Assigned,High,8,2025-07-05,2025-08-21,0,C101,Electric,,,,
WO200055,A100240,Pole,Peninsula,37.60396,-122.11722,Open,Critical,9,2025-07-26,2025-09-10,0,,Electric,,,,
WO200056,A100075,Substation Equipment,East Bay,37.81366,-122.21191,Closed,Critical,10,2025-04-25,2025-05-23,0,C104,Electric,,,,
WO200057,A100125,Transformer,San Francisco,37.7755,-122.4485,Assigned,High,6,2025-05-24,2025-06-30,38,C105,Electric,,,,
WO200058,A100253,Substation Equipment,Central Valley,37.66491,-120.9622,In Progress,Critical,10,2025-07-24,2025-08-13,0,C105,Electric,,,,
WO200059,A100157,Transformer,South Bay,37.17904,-122.09897,Closed,High,7,2025-06-15,2025-06-28,0,C112,Electric,,,,
WO200060,A100045,Pole,East Bay,37.73135,-121.73737,Closed,Critical,9,2025-06-15,2025-07-22,0,C118,Electric,,,,
WO200061,A100147,Substation Equipment,Peninsula,37.43101,-122.11514,Assigned,Critical,10,2025-04-21,2025-05-11,88,C111,Electric,,,,
WO200062,A100285,Pole,Peninsula,37.63639,-122.21135,In Progress,Critical,10,2025-06-04,2025-06-27,41,C110,Electric,,,,
WO200063,A100244,Regulator,Peninsula,37.52388,-122.45053,Closed,Medium,5,2025-06-21,2025-07-20,0,C113,Electric,,,,
WO200064,A100237,Gas Valve,Peninsula,37.36437,-122.2362,Deferred,Critical,10,2025-06-16,2025-07-25,13,,Gas,,,,
WO200065,A100156,Regulator,North Bay,38.52998,-122.98112,Deferred,Critical,10,2025-05-25,2025-06-23,45,,Electric,,,,
WO200066,A100176,Substation Equipment,East Bay,37.55732,-121.9212,Closed,Critical,9,2025-05-06,2025-06-13,0,C111,Electric,,,,
WO200067,A100034,Transformer,North Bay,38.08495,-122.75966,In Progress,High,8,2025-07-04,2025-07-31,7,C105,Electric,,,,
WO200068,A100144,Switchgear,Peninsula,37.38021,-122.38047,Open,Critical,10,2025-05-14,2025-06-30,38,,Electric,,,,
WO200069,A100164,Pole,South Bay,37.10196,-122.2995,Closed,High,6,2025-07-23,2025-08-24,0,C113,Electric,,,,
WO200070,A100199,Pole,Central Valley,36.96973,-120.95459,Open,Critical,10,2025-05-20,2025-07-02,36,,Electric,,,,
WO200071,A100172,Regulator,South Bay,37.13798,-121.73177,Open,Critical,10,2025-06-20,2025-07-03,35,,Electric,,,,
WO200072,A100238,Transformer,North Bay,38.54107,-122.65644,Deferred,Critical,10,2025-07-04,2025-09-01,0,,Electric,,,,
WO200073,A100073,Transformer,Peninsula,37.41428,-122.34636,In Progress,Critical,10,2025-05-12,2025-07-07,31,C117,Electric,,,,
WO200074,A100072,Transformer,Central Valley,37.28946,-120.76635,Assigned,Critical,9,2025-05-20,2025-07-05,33,C105,Electric,,,,
WO200075,A100009,Feeder,North Bay,38.21626,-123.03296,In Progress,Critical,10,2025-05-09,2025-06-28,40,C120,Electric,,,,
WO200076,A100194,Gas Valve,San Francisco,37.76994,-122.45511,Open,Critical,10,2025-05-02,2025-05-14,85,,Gas,,,,
WO200077,A100197,Transformer,South Bay,37.44668,-122.1028,Assigned,Critical,10,2025-05-04,2025-06-20,48,C106,Electric,,,,
WO200078,A100176,Substation Equipment,East Bay,37.8643,-121.8246,Open,Critical,10,2025-07-16,2025-09-03,0,,Electric,,,,
WO200079,A100015,Feeder,Peninsula,37.60203,-122.38557,Closed,Critical,10,2025-07-24,2025-08-26,0,C101,Electric,,,,
WO200080,A100174,Transformer,San Francisco,37.72959,-122.48422,Open,Critical,10,2025-06-11,2025-08-09,0,,Electric,,,,
WO200081,A100138,Pole,San Francisco,37.79159,-122.3681,In Progress,High,7,2025-06-19,2025-07-31,7,C110,Electric,,,,
WO200082,A100260,Feeder,Peninsula,37.47806,-122.19809,Open,Critical,10,2025-07-05,2025-08-07,0,,Electric,,,,
WO200083,A100063,Pole,Peninsula,37.3792,-122.17209,In Progress,Medium,3,2025-07-26,2025-08-29,0,C119,Electric,,,,
WO200084,A100137,Pole,South Bay,37.17529,-121.63571,In Progress,Critical,9,2025-07-22,2025-08-29,0,C102,Electric,,,,
WO200085,A100259,Pole,Central Valley,37.72561,-121.13905,Closed,Critical,10,2025-04-14,2025-04-28,0,C114,Electric,,,,
WO200086,A100115,Feeder,Central Valley,36.92904,-121.04188,Closed,Critical,10,2025-05-16,2025-07-06,0,C115,Electric,,,,
WO200087,A100258,Substation Equipment,East Bay,37.82107,-121.61702,In Progress,Critical,10,2025-07-20,2025-07-27,11,C120,Electric,,,,
WO200088,A100029,Transformer,East Bay,37.59895,-122.10412,Deferred,Critical,10,2025-05-14,2025-07-02,36,,Electric,,,,
WO200089,A100122,Regulator,San Francisco,37.73006,-122.38828,Assigned,Critical,10,2025-05-29,2025-07-24,14,C104,Electric,,,,
WO200090,A100280,Pole,San Francisco,37.79279,-122.51945,Assigned,Critical,10,2025-07-18,2025-09-04,0,C105,Electric,,,,
WO200091,A100042,Regulator,San Francisco,37.76475,-122.50909,Assigned,Critical,10,2025-05-09,2025-05-16,83,C101,Electric,,,,
WO200092,A100086,Regulator,Sierra,39.10112,-120.76469,Open,Critical,9,2025-05-02,2025-06-20,48,,Electric,,,,
WO200093,A100016,Feeder,East Bay,37.62517,-122.12349,Open,Critical,10,2025-04-10,2025-04-22,107,,Electric,,,,
WO200094,A100064,Pole,Peninsula,37.63905,-122.34335,Assigned,Medium,4,2025-07-13,2025-07-28,10,C109,Electric,,,,
WO200095,A100194,Gas Valve,San Francisco,37.79068,-122.42101,Open,Critical,10,2025-04-27,2025-06-09,59,,Gas,,,,
WO200096,A100231,Feeder,Peninsula,37.43088,-122.28599,Open,Critical,10,2025-04-26,2025-06-19,49,,Electric,,,,
WO200097,A100139,Regulator,North Bay,38.02696,-123.18414,Closed,High,7,2025-07-22,2025-08-21,0,C105,Electric,,,,
WO200098,A100213,Substation Equipment,Central Valley,37.66601,-121.33687,Open,Critical,10,2025-04-26,2025-06-20,48,,Electric,,,,
WO200099,A100109,Regulator,South Bay,37.05479,-122.29256,In Progress,Critical,10,2025-05-09,2025-06-20,48,C115,Electric,,,,
WO200100,A100037,Pole,San Francisco,37.80973,-122.38122,Closed,Low,1,2025-05-04,2025-05-27,0,C102,Electric,,,,
WO200101,A100030,Pole,North Bay,38.04987,-122.64972,Open,Critical,10,2025-04-28,2025-05-07,92,,Electric,,,,
WO200102,A100066,Transformer,San Francisco,37.76597,-122.40628,In Progress,Critical,9,2025-07-27,2025-09-13,0,C120,Electric,,,,
WO200103,A100121,Pole,North Bay,38.52663,-123.06722,Assigned,Critical,10,2025-07-18,2025-08-18,0,C120,Electric,,,,
WO200104,A100211,Switchgear,Sierra,38.66893,-120.0664,Assigned,Critical,10,2025-07-07,2025-09-05,0,C102,Electric,,,,
WO200105,A100137,Pole,South Bay,37.26971,-122.05089,Deferred,Critical,10,2025-06-18,2025-07-18,20,,Electric,,,,
WO200106,A100189,Transformer,East Bay,37.6004,-121.72433,Assigned,Critical,10,2025-04-26,2025-05-31,68,C106,Electric,,,,
WO200107,A100192,Pole,Sierra,38.87965,-120.06738,Open,Critical,10,2025-07-10,2025-09-06,0,,Electric,,,,
WO200108,A100075,Substation Equipment,East Bay,37.62697,-122.37999,In Progress,High,8,2025-05-07,2025-05-24,75,C114,Electric,,,,
WO200109,A100275,Regulator,East Bay,37.94442,-121.9498,Closed,Critical,10,2025-05-28,2025-06-28,0,C115,Electric,,,,
WO200110,A100259,Pole,Central Valley,37.42589,-121.00112,Closed,Critical,10,2025-06-24,2025-08-20,0,C111,Electric,,,,
WO200111,A100236,Pole,South Bay,37.16758,-121.82984,Open,Critical,10,2025-06-21,2025-07-15,23,,Electric,,,,
WO200112,A100248,Feeder,Peninsula,37.37457,-122.36993,Closed,Medium,4,2025-05-06,2025-06-27,0,C120,Electric,,,,
WO200113,A100177,Pole,East Bay,37.87933,-121.75237,Closed,Critical,10,2025-06-16,2025-07-31,0,C101,Electric,,,,
WO200114,A100099,Substation Equipment,Central Valley,37.69134,-120.54903,In Progress,Critical,9,2025-04-13,2025-04-29,100,C110,Electric,,,,
WO200115,A100288,Pole,San Francisco,37.71378,-122.47615,Deferred,Critical,10,2025-05-15,2025-06-18,50,,Electric,,,,
WO200116,A100139,Regulator,North Bay,38.17361,-122.55386,Assigned,High,8,2025-06-27,2025-07-28,10,C113,Electric,,,,
WO200117,A100106,Regulator,Peninsula,37.50036,-122.23592,Closed,Critical,10,2025-05-12,2025-07-07,0,C115,Electric,,,,
WO200118,A100183,Switchgear,South Bay,37.32569,-121.79261,Open,Critical,10,2025-06-22,2025-08-12,0,,Electric,,,,
WO200119,A100163,Gas Valve,Central Valley,37.69194,-120.93076,Assigned,Critical,10,2025-06-25,2025-07-19,19,C119,Gas,,,,
WO200120,A100266,Regulator,Sierra,39.15302,-121.02851,Closed,Critical,10,2025-04-15,2025-06-09,0,C102,Electric,,,,
WO200121,A100228,Gas Valve,San Francisco,37.70873,-122.43997,Open,Critical,10,2025-06-22,2025-08-21,0,,Gas,,,,
WO200122,A100068,Pole,San Francisco,37.79253,-122.44991,Open,Critical,10,2025-05-16,2025-06-01,67,,Electric,,,,
WO200123,A100156,Regulator,North Bay,38.21176,-123.09617,Closed,Critical,10,2025-04-11,2025-06-08,0,C116,Electric,,,,
WO200124,A100002,Feeder,San Francisco,37.7074,-122.48424,Open,Critical,10,2025-06-14,2025-07-25,13,,Electric,,,,
WO200125,A100195,Regulator,Peninsula,37.32328,-122.48552,Closed,Critical,10,2025-05-19,2025-06-26,0,C107,Electric,,,,
WO200126,A100204,Pole,Sierra,39.63874,-120.87165,Closed,Critical,10,2025-04-19,2025-06-13,0,C108,Electric,,,,
WO200127,A100139,Regulator,North Bay,38.5804,-122.58783,Open,High,6,2025-06-19,2025-08-03,4,,Electric,,,,
WO200128,A100035,Pole,North Bay,38.44574,-123.1764,In Progress,Critical,10,2025-06-08,2025-07-14,24,C109,Electric,,,,
WO200129,A100071,Gas Valve,Central Valley,37.35669,-121.25772,Open,Critical,10,2025-05-14,2025-07-08,30,,Gas,,,,
WO200130,A100121,Pole,North Bay,38.42742,-122.38841,In Progress,Critical,10,2025-06-09,2025-07-15,23,C118,Electric,,,,
WO200131,A100236,Pole,South Bay,37.09222,-122.2354,Closed,Critical,9,2025-04-16,2025-05-15,0,C108,Electric,,,,
WO200132,A100257,Gas Valve,East Bay,37.69693,-122.02516,In Progress,Critical,9,2025-06-08,2025-07-22,16,C109,Gas,,,,
WO200133,A100113,Pole,Peninsula,37.61337,-122.49334,Assigned,Critical,10,2025-04-13,2025-05-23,76,C117,Electric,,,,
WO200134,A100118,Transformer,South Bay,37.3992,-121.83666,Open,Medium,3,2025-05-14,2025-06-02,66,,Electric,,,,
WO200135,A100161,Switchgear,South Bay,37.34355,-121.97782,Open,Critical,10,2025-07-04,2025-07-16,22,,Electric,,,,
WO200136,A100145,Pole,East Bay,37.68618,-121.64809,Assigned,Critical,10,2025-04-30,2025-05-25,74,C119,Electric,,,,
WO200137,A100042,Regulator,San Francisco,37.71854,-122.40893,Closed,Critical,10,2025-06-13,2025-07-15,0,C105,Electric,,,,
WO200138,A100200,Gas Valve,Central Valley,36.65671,-121.03954,Deferred,High,6,2025-06-27,2025-07-06,32,,Gas,,,,
WO200139,A100185,Feeder,San Francisco,37.78314,-122.36777,Closed,Critical,10,2025-05-26,2025-06-25,0,C112,Electric,,,,
WO200140,A100072,Transformer,Central Valley,37.52659,-120.79241,Closed,High,8,2025-05-09,2025-06-14,0,C105,Electric,,,,
WO200141,A100101,Substation Equipment,Sierra,39.54828,-120.65137,Open,High,7,2025-06-18,2025-08-02,5,,Electric,,,,
WO200142,A100058,Transformer,Peninsula,37.63133,-122.21669,In Progress,Critical,10,2025-06-23,2025-08-02,5,C104,Electric,,,,
WO200143,A100072,Transformer,Central Valley,36.82589,-120.75094,Deferred,Critical,9,2025-07-24,2025-08-13,0,,Electric,,,,
WO200144,A100077,Substation Equipment,North Bay,38.39514,-122.34592,Assigned,Critical,10,2025-04-09,2025-05-22,77,C119,Electric,,,,
WO200145,A100153,Pole,Peninsula,37.41557,-122.19884,Deferred,High,8,2025-07-01,2025-07-24,14,,Electric,,,,
WO200146,A100072,Transformer,Central Valley,37.13074,-120.88334,Open,High,8,2025-06-23,2025-07-27,11,,Electric,,,,
WO200147,A100128,Feeder,East Bay,37.71103,-122.07593,In Progress,Critical,10,2025-06-01,2025-07-27,11,C120,Electric,,,,
WO200148,A100262,Transformer,Central Valley,37.95978,-120.64242,Closed,Critical,10,2025-07-12,2025-08-04,0,C111,Electric,,,,
WO200149,A100209,Regulator,North Bay,38.42427,-122.64928,Assigned,Critical,10,2025-07-03,2025-07-21,17,C101,Electric,,,,
WO200150,A100170,Switchgear,Central Valley,36.89079,-120.99319,In Progress,Critical,10,2025-07-22,2025-07-31,7,C115,Electric,,,,
WO200151,A100006,Switchgear,San Francisco,37.74831,-122.4991,Closed,Critical,10,2025-05-27,2025-06-07,0,C113,Electric,,,,
WO200152,A100294,Regulator,Peninsula,37.62876,-122.35042,Deferred,Critical,10,2025-07-13,2025-09-03,0,,Electric,,,,
WO200153,A100093,Gas Valve,San Francisco,37.801,-122.3621,In Progress,Critical,10,2025-06-26,2025-07-23,15,C103,Gas,,,,
WO200154,A100269,Regulator,North Bay,38.20567,-122.8571,Assigned,Critical,10,2025-05-04,2025-06-12,56,C115,Electric,,,,
WO200155,A100071,Gas Valve,Central Valley,36.77502,-120.6533,Assigned,Critical,10,2025-04-11,2025-04-28,101,C108,Gas,,,,
WO200156,A100182,Switchgear,North Bay,38.47544,-122.3575,Open,Critical,9,2025-04-27,2025-05-18,81,,Electric,,,,
WO200157,A100254,Regulator,Peninsula,37.52666,-122.49946,Open,High,6,2025-06-26,2025-07-25,13,,Electric,,,,
WO200158,A100255,Regulator,San Francisco,37.76848,-122.44493,Closed,Critical,10,2025-05-19,2025-05-27,0,C102,Electric,,,,
WO200159,A100193,Feeder,Central Valley,36.97049,-121.40752,In Progress,Critical,9,2025-06-25,2025-08-21,0,C116,Electric,,,,
WO200160,A100093,Gas Valve,San Francisco,37.7694,-122.49702,Open,Critical,10,2025-07-21,2025-08-03,4,,Gas,,,,
WO200161,A100215,Regulator,Sierra,39.42761,-120.85201,Deferred,Critical,10,2025-04-23,2025-04-30,99,,Electric,,,,
WO200162,A100074,Transformer,San Francisco,37.79113,-122.36555,Assigned,Critical,10,2025-05-03,2025-06-26,42,C119,Electric,,,,
WO200163,A100030,Pole,North Bay,38.34866,-122.50908,In Progress,Critical,10,2025-06-02,2025-07-27,11,C116,Electric,,,,
WO200164,A100089,Transformer,San Francisco,37.81749,-122.47618,Open,Critical,10,2025-06-17,2025-07-17,21,,Electric,,,,
WO200165,A100152,Gas Valve,East Bay,37.564,-121.89196,Assigned,Critical,10,2025-07-13,2025-08-12,0,C106,Gas,,,,
WO200166,A100078,Regulator,North Bay,38.01421,-122.42112,Closed,Critical,10,2025-06-02,2025-06-24,0,C101,Electric,,,,
WO200167,A100162,Transformer,East Bay,37.90957,-122.34378,Closed,High,7,2025-05-30,2025-07-21,0,C102,Electric,,,,
WO200168,A100203,Substation Equipment,North Bay,38.20018,-122.59995,Open,Critical,10,2025-07-08,2025-09-06,0,,Electric,,,,
WO200169,A100293,Regulator,Peninsula,37.46758,-122.36646,Closed,Critical,10,2025-05-10,2025-06-09,0,C105,Electric,,,,
WO200170,A100007,Substation Equipment,Peninsula,37.55445,-122.29571,Deferred,Medium,3,2025-04-20,2025-05-25,74,,Electric,,,,
WO200171,A100283,Gas Valve,Peninsula,37.45304,-122.42832,Open,High,6,2025-06-09,2025-08-08,0,,Gas,,,,
WO200172,A100015,Feeder,Peninsula,37.39688,-122.16144,Deferred,Critical,10,2025-07-19,2025-08-23,0,,Electric,,,,
WO200173,A100278,Regulator,Sierra,38.82956,-120.14709,Open,High,8,2025-06-17,2025-08-15,0,,Electric,,,,
WO200174,A100068,Pole,San Francisco,37.70302,-122.47441,Assigned,Critical,10,2025-07-14,2025-08-30,0,C111,Electric,,,,
WO200175,A100227,Pole,East Bay,37.94494,-122.10004,Open,Medium,4,2025-06-30,2025-08-23,0,,Electric,,,,
WO200176,A100193,Feeder,Central Valley,37.24487,-120.97367,In Progress,High,8,2025-04-28,2025-06-02,66,C105,Electric,,,,
WO200177,A100238,Transformer,North Bay,38.38348,-123.19486,Open,Critical,10,2025-06-02,2025-06-18,50,,Electric,,,,
WO200178,A100032,Feeder,San Francisco,37.77,-122.48898,Open,Critical,10,2025-06-06,2025-06-28,40,,Electric,,,,
WO200179,A100130,Transformer,Central Valley,37.72478,-120.93116,Closed,Critical,10,2025-06-24,2025-08-06,0,C111,Electric,,,,
WO200180,A100221,Pole,Central Valley,36.98126,-121.32765,Open,Critical,10,2025-04-17,2025-05-04,95,,Electric,,,,
WO200181,A100042,Regulator,San Francisco,37.80416,-122.37473,Assigned,Critical,10,2025-07-15,2025-08-11,0,C116,Electric,,,,
WO200182,A100256,Pole,San Francisco,37.74836,-122.41172,Deferred,High,7,2025-07-14,2025-07-30,8,,Electric,,,,
WO200183,A100095,Gas Valve,East Bay,37.7712,-121.80205,Closed,Critical,10,2025-07-21,2025-09-06,0,C107,Gas,,,,
WO200184,A100056,Regulator,East Bay,37.57283,-121.67595,Closed,High,6,2025-05-18,2025-06-24,0,C104,Electric,,,,
WO200185,A100228,Gas Valve,San Francisco,37.77693,-122.51513,Open,Critical,10,2025-06-26,2025-08-20,0,,Gas,,,,
WO200186,A100296,Regulator,Central Valley,36.83703,-120.63347,Deferred,Low,2,2025-06-12,2025-07-16,22,,Electric,,,,
WO200187,A100223,Transformer,Sierra,38.54518,-120.59482,Open,Critical,10,2025-06-28,2025-07-20,18,,Electric,,,,
WO200188,A100158,Switchgear,South Bay,37.03761,-122.28792,Closed,Critical,10,2025-06-21,2025-07-24,0,C102,Electric,,,,
WO200189,A100167,Switchgear,San Francisco,37.7225,-122.4316,Deferred,Critical,10,2025-04-13,2025-06-05,63,,Electric,,,,
WO200190,A100044,Gas Valve,Central Valley,37.92235,-121.27816,Open,Critical,10,2025-07-10,2025-08-26,0,,Gas,,,,
WO200191,A100019,Gas Valve,Central Valley,36.70059,-121.14747,Assigned,Critical,10,2025-04-16,2025-05-25,74,C105,Gas,,,,
WO200192,A100084,Transformer,San Francisco,37.80158,-122.47438,Closed,Critical,10,2025-06-02,2025-06-09,0,C117,Electric,,,,
WO200193,A100009,Feeder,North Bay,38.34442,-122.95456,Assigned,Critical,9,2025-06-22,2025-07-10,28,C102,Electric,,,,
WO200194,A100182,Switchgear,North Bay,38.22606,-123.10667,Open,Critical,10,2025-06-06,2025-06-26,42,,Electric,,,,
WO200195,A100075,Substation Equipment,East Bay,37.98484,-122.37399,Closed,Critical,10,2025-07-05,2025-07-20,0,C117,Electric,,,,
WO200196,A100221,Pole,Central Valley,36.5946,-120.99649,In Progress,Critical,10,2025-04-21,2025-05-12,87,C107,Electric,,,,
WO200197,A100259,Pole,Central Valley,36.82896,-120.73647,Closed,Critical,10,2025-05-13,2025-05-25,0,C120,Electric,,,,
WO200198,A100146,Transformer,Central Valley,37.21516,-121.44487,Closed,Medium,4,2025-04-26,2025-06-03,0,C106,Electric,,,,
WO200199,A100207,Pole,Peninsula,37.59178,-122.14228,In Progress,Critical,10,2025-07-02,2025-07-17,21,C107,Electric,,,,
WO200200,A100250,Feeder,Central Valley,36.57231,-120.54701,Open,Critical,10,2025-05-15,2025-06-10,58,,Electric,,,,
WO200201,A100223,Transformer,Sierra,39.56464,-120.58146,Closed,Critical,10,2025-07-20,2025-09-09,0,C114,Electric,,,,
WO200202,A100272,Feeder,North Bay,38.17534,-122.52753,Closed,Critical,10,2025-04-12,2025-06-04,0,C117,Electric,,,,
WO200203,A100255,Regulator,San Francisco,37.77012,-122.36145,Assigned,Critical,10,2025-04-16,2025-05-15,84,C116,Electric,,,,
WO200204,A100173,Feeder,San Francisco,37.7339,-122.4233,Assigned,Critical,10,2025-07-17,2025-07-24,14,C116,Electric,,,,
WO200205,A100265,Pole,South Bay,37.47521,-121.81032,Open,Critical,10,2025-07-11,2025-08-29,0,,Electric,,,,
